"Naziv isplatitelja";"Datum";"Primatelj";"OIB";"Mjesto";"Proračunski korisnik";"Valuta";"Iznos na poziciji";"Pozicija";"Organizacijska klasifikacija";"Programska klasifikacija";"Izvor financiranja";"Ekonomska klasifikacija";"Funkcijska klasifikacija";"Broj računa";"Opis";"Datum računa";"Datum dospijeća";"IBAN";"Poziv na broj"
"GRAD LABIN";"2025-12-30T00:00:00.000Z";"JEDINSTVO D.O.O.";"29947239127";"LABIN";"OŠ ""IVO LOLA RIBAR"" LABIN";"EUR";"134.65";"R0717-1 Materijal i sirovine";"500       03        10590 OSNOVNA ŠKOLA IVO LOLA RIBAR LABIN";"L01 5002A500003 Financiranje djelatnosti osnovnog školstva";"5.9.000001 5. POMOĆI - PRIHODI KORISNIKA GL 02";"322240 Namirnice";"0912 Osnovno obrazovanje";"2021-23-1";"ILR 1809-108 - HRANA KATURE PLACANJE RACUNA 23102021";"2025-12-15T00:00:00.000Z";"2026-01-14T00:00:00.000Z";"HR4924020061100387225";"HR01 03490-23102021-14"
"GRAD LABIN";"2025-12-30T00:00:00.000Z";"JEDINSTVO D.O.O.";"29947239127";"LABIN";"OŠ ""IVO LOLA RIBAR"" LABIN";"EUR";"85.46";"R0717-1 Materijal i sirovine";"500       03        10590 OSNOVNA ŠKOLA IVO LOLA RIBAR LABIN";"L01 5002A500003 Financiranje djelatnosti osnovnog školstva";"5.9.000001 5. POMOĆI - PRIHODI KORISNIKA GL 02";"322240 Namirnice";"0912 Osnovno obrazovanje";"2004-23-1";"ILR 1801-108 - HRANA MATIČNA PLACANJE RACUNA 23102004";"2025-12-11T00:00:00.000Z";"2026-01-10T00:00:00.000Z";"HR4924020061100387225";"HR01 03490-23102004-13"
"GRAD LABIN";"2025-12-30T00:00:00.000Z";"JEDINSTVO D.O.O.";"29947239127";"LABIN";"OŠ ""IVO LOLA RIBAR"" LABIN";"EUR";"131.99";"R0717-1 Materijal i sirovine";"500       03        10590 OSNOVNA ŠKOLA IVO LOLA RIBAR LABIN";"L01 5002A500003 Financiranje djelatnosti osnovnog školstva";"5.9.000001 5. POMOĆI - PRIHODI KORISNIKA GL 02";"322240 Namirnice";"0912 Osnovno obrazovanje";"2328-11-1";"ILR 1750-108 - HRANA VINEŽ 11102328";"2025-12-01T00:00:00.000Z";"2026-01-09T00:00:00.000Z";"HR4924020061100387225";"HR01 03490-11102328-17"
"GRAD LABIN";"2025-12-30T00:00:00.000Z";"JEDINSTVO D.O.O.";"29947239127";"LABIN";"OŠ ""IVO LOLA RIBAR"" LABIN";"EUR";"79.28";"R0717-1 Materijal i sirovine";"500       03        10590 OSNOVNA ŠKOLA IVO LOLA RIBAR LABIN";"L01 5002A500003 Financiranje djelatnosti osnovnog školstva";"5.9.000001 5. POMOĆI - PRIHODI KORISNIKA GL 02";"322240 Namirnice";"0912 Osnovno obrazovanje";"2364-11-1";"ILR 1802-108 - HRANA VINEŽ PLACANJE RACUNA 11102364";"2025-12-12T00:00:00.000Z";"2026-01-19T00:00:00.000Z";"HR4924020061100387225";"HR01 03490-11102364-13"
"GRAD LABIN";"2025-12-30T00:00:00.000Z";"JEDINSTVO D.O.O.";"29947239127";"LABIN";"OŠ ""IVO LOLA RIBAR"" LABIN";"EUR";"52.90";"R0717-1 Materijal i sirovine";"500       03        10590 OSNOVNA ŠKOLA IVO LOLA RIBAR LABIN";"L01 5002A500003 Financiranje djelatnosti osnovnog školstva";"5.9.000001 5. POMOĆI - PRIHODI KORISNIKA GL 02";"322240 Namirnice";"0912 Osnovno obrazovanje";"2365-11-1";"ILR 1800-108 - HRANA VOZILIĆI PLACANJE RACUNA 11102365";"2025-12-11T00:00:00.000Z";"2026-01-19T00:00:00.000Z";"HR4924020061100387225";"HR01 03490-11102365-10"
"GRAD LABIN";"2025-12-30T00:00:00.000Z";"JEDINSTVO D.O.O.";"29947239127";"LABIN";"OŠ ""IVO LOLA RIBAR"" LABIN";"EUR";"105.52";"R0717-1 Materijal i sirovine";"500       03        10590 OSNOVNA ŠKOLA IVO LOLA RIBAR LABIN";"L01 5002A500003 Financiranje djelatnosti osnovnog školstva";"5.9.000001 5. POMOĆI - PRIHODI KORISNIKA GL 02";"322240 Namirnice";"0912 Osnovno obrazovanje";"1980-23-1";"ILR 1773-108 - HRANA KATURE";"2025-12-06T00:00:00.000Z";"2026-01-05T00:00:00.000Z";"HR4924020061100387225";"HR01 03490-23101980-10"
"GRAD LABIN";"2025-12-30T00:00:00.000Z";"JEDINSTVO D.O.O.";"29947239127";"LABIN";"OŠ ""IVO LOLA RIBAR"" LABIN";"EUR";"14.84";"R0717-1 Materijal i sirovine";"500       03        10590 OSNOVNA ŠKOLA IVO LOLA RIBAR LABIN";"L01 5002A500003 Financiranje djelatnosti osnovnog školstva";"5.9.000001 5. POMOĆI - PRIHODI KORISNIKA GL 02";"322240 Namirnice";"0912 Osnovno obrazovanje";"1959-23-1";"ILR 1736-108 - HRANA MATIČNA  23101959";"2025-12-04T00:00:00.000Z";"2026-01-03T00:00:00.000Z";"HR4924020061100387225";"HR01 03490-23101959-16"
"GRAD LABIN";"2025-12-30T00:00:00.000Z";"JEDINSTVO D.O.O.";"29947239127";"LABIN";"OŠ ""IVO LOLA RIBAR"" LABIN";"EUR";"20.06";"R0717-1 Materijal i sirovine";"500       03        10590 OSNOVNA ŠKOLA IVO LOLA RIBAR LABIN";"L01 5002A500003 Financiranje djelatnosti osnovnog školstva";"5.9.000001 5. POMOĆI - PRIHODI KORISNIKA GL 02";"322240 Namirnice";"0912 Osnovno obrazovanje";"1951-23-1";"ILR 1735-108 - HRANA KATURE 23101951";"2025-12-03T00:00:00.000Z";"2026-01-02T00:00:00.000Z";"HR4924020061100387225";"HR01 03490-23101951-18"
"GRAD LABIN";"2025-12-30T00:00:00.000Z";"JEDINSTVO D.O.O.";"29947239127";"LABIN";"OŠ ""IVO LOLA RIBAR"" LABIN";"EUR";"2.98";"R0717-1 Materijal i sirovine";"500       03        10590 OSNOVNA ŠKOLA IVO LOLA RIBAR LABIN";"L01 5002A500003 Financiranje djelatnosti osnovnog školstva";"5.9.000001 5. POMOĆI - PRIHODI KORISNIKA GL 02";"322240 Namirnice";"0912 Osnovno obrazovanje";"1950-23-1";"ILR 1734-108 - HRANA MATIČNA  23101950";"2025-12-03T00:00:00.000Z";"2026-01-02T00:00:00.000Z";"HR4924020061100387225";"HR01 03490-23101950-10"
"GRAD LABIN";"2025-12-30T00:00:00.000Z";"JEDINSTVO D.O.O.";"29947239127";"LABIN";"OŠ ""IVO LOLA RIBAR"" LABIN";"EUR";"25.42";"R0717-1 Materijal i sirovine";"500       03        10590 OSNOVNA ŠKOLA IVO LOLA RIBAR LABIN";"L01 5002A500003 Financiranje djelatnosti osnovnog školstva";"5.9.000001 5. POMOĆI - PRIHODI KORISNIKA GL 02";"322240 Namirnice";"0912 Osnovno obrazovanje";"1945-23-1";"ILR 1733-108 - HRANA VOZILIĆI 23101945";"2025-12-02T00:00:00.000Z";"2026-01-01T00:00:00.000Z";"HR4924020061100387225";"HR01 03490-23101945-10"
"GRAD LABIN";"2025-12-30T00:00:00.000Z";"JEDINSTVO D.O.O.";"29947239127";"LABIN";"OŠ ""IVO LOLA RIBAR"" LABIN";"EUR";"180.89";"R0717-1 Materijal i sirovine";"500       03        10590 OSNOVNA ŠKOLA IVO LOLA RIBAR LABIN";"L01 5002A500003 Financiranje djelatnosti osnovnog školstva";"5.9.000001 5. POMOĆI - PRIHODI KORISNIKA GL 02";"322240 Namirnice";"0912 Osnovno obrazovanje";"1946-23-1";"ILR 1732-108 - HRANA MATIČNA  23101946";"2025-12-02T00:00:00.000Z";"2026-01-01T00:00:00.000Z";"HR4924020061100387225";"HR01 03490-23101946-18"
"GRAD LABIN";"2025-12-30T00:00:00.000Z";"BRIONKA D.D.";"45422293596";"PULA";"OŠ ""IVO LOLA RIBAR"" LABIN";"EUR";"479.22";"R0717-1 Materijal i sirovine";"500       03        10590 OSNOVNA ŠKOLA IVO LOLA RIBAR LABIN";"L01 5002A500003 Financiranje djelatnosti osnovnog školstva";"5.9.000001 5. POMOĆI - PRIHODI KORISNIKA GL 02";"322240 Namirnice";"0912 Osnovno obrazovanje";"48909/1/1";"ILR 1808-187607 - HRANA MATIČNA";"2025-12-15T00:00:00.000Z";"2026-01-14T00:00:00.000Z";"HR8724850031100301635";"HR00 48909-1-1"
"GRAD LABIN";"2025-12-30T00:00:00.000Z";"BRIONKA D.D.";"45422293596";"PULA";"OŠ ""IVO LOLA RIBAR"" LABIN";"EUR";"10.71";"R0717-1 Materijal i sirovine";"500       03        10590 OSNOVNA ŠKOLA IVO LOLA RIBAR LABIN";"L01 5002A500003 Financiranje djelatnosti osnovnog školstva";"5.9.000001 5. POMOĆI - PRIHODI KORISNIKA GL 02";"322240 Namirnice";"0912 Osnovno obrazovanje";"48911/1/1";"ILR 1807-187607 - HREANA MATIČNA";"2025-12-15T00:00:00.000Z";"2026-01-14T00:00:00.000Z";"HR8724850031100301635";"HR00 48911-1-1"
"GRAD LABIN";"2025-12-30T00:00:00.000Z";"BRIONKA D.D.";"45422293596";"PULA";"OŠ ""IVO LOLA RIBAR"" LABIN";"EUR";"154.37";"R0717-1 Materijal i sirovine";"500       03        10590 OSNOVNA ŠKOLA IVO LOLA RIBAR LABIN";"L01 5002A500003 Financiranje djelatnosti osnovnog školstva";"5.9.000001 5. POMOĆI - PRIHODI KORISNIKA GL 02";"322240 Namirnice";"0912 Osnovno obrazovanje";"48910/1/1";"ILR 1806-187607 - HRANA KATURE";"2025-12-15T00:00:00.000Z";"2026-01-14T00:00:00.000Z";"HR8724850031100301635";"HR00 48910-1-1"
"GRAD LABIN";"2025-12-30T00:00:00.000Z";"BRIONKA D.D.";"45422293596";"PULA";"OŠ ""IVO LOLA RIBAR"" LABIN";"EUR";"74.33";"R0717-1 Materijal i sirovine";"500       03        10590 OSNOVNA ŠKOLA IVO LOLA RIBAR LABIN";"L01 5002A500003 Financiranje djelatnosti osnovnog školstva";"5.9.000001 5. POMOĆI - PRIHODI KORISNIKA GL 02";"322240 Namirnice";"0912 Osnovno obrazovanje";"49984/1/1";"ILR 1805-187607 - HRANA MATIČNA";"2025-12-15T00:00:00.000Z";"2026-01-14T00:00:00.000Z";"HR8724850031100301635";"HR00 49984-1-1"
"GRAD LABIN";"2025-12-30T00:00:00.000Z";"BRIONKA D.D.";"45422293596";"PULA";"OŠ ""IVO LOLA RIBAR"" LABIN";"EUR";"78.28";"R0717-1 Materijal i sirovine";"500       03        10590 OSNOVNA ŠKOLA IVO LOLA RIBAR LABIN";"L01 5002A500003 Financiranje djelatnosti osnovnog školstva";"5.9.000001 5. POMOĆI - PRIHODI KORISNIKA GL 02";"322240 Namirnice";"0912 Osnovno obrazovanje";"50671/1/1";"ILR 1804-187607 - HRANA VINEŽ";"2025-12-15T00:00:00.000Z";"2026-01-14T00:00:00.000Z";"HR8724850031100301635";"HR00 50671-1-1"
"GRAD LABIN";"2025-12-30T00:00:00.000Z";"DINOP d.o.o.";"00042324329";"SESVETE";"OŠ ""IVO LOLA RIBAR"" LABIN";"EUR";"2889.32";"R0702 Energija";"500       03        10590 OSNOVNA ŠKOLA IVO LOLA RIBAR LABIN";"L01 5002A500003 Financiranje djelatnosti osnovnog školstva";"5.1.001 5. POTPORE ZA DECENTRALIZIRANE FUNKCIJE OSNOVNOG OBRAZOVANJA";"322390 Ostali materijali za proizvodnju energije (ugljen, drva, teško ulje)";"0912 Osnovno obrazovanje";"620/M4/4";"ILR 1813-75523 - PELETI";"2025-12-16T00:00:00.000Z";"2026-01-15T00:00:00.000Z";"HR4224020061100283173";"HR00 2611"
"GRAD LABIN";"2025-12-30T00:00:00.000Z";"RADE INSTALACIJE D.O.O.";"22956679886";"LABIN";"OŠ ""IVO LOLA RIBAR"" LABIN";"EUR";"346.67";"R0681-3 Usluge tekućeg i investicijskog održavanja";"500       03        10590 OSNOVNA ŠKOLA IVO LOLA RIBAR LABIN";"L01 5002A500003 Financiranje djelatnosti osnovnog školstva";"1.1.001    1.OPĆI PRIHODI I PRIMICI";"323210 Usluge tekućeg i investicijskog održavanja građevinskih objekata";"0912 Osnovno obrazovanje";"63/USL/1";"ILR 1746-88030 - USLUGE INV. ODRŽAVANJA - MATIČNA - KEMIJA";"2025-12-10T00:00:00.000Z";"2026-01-09T00:00:00.000Z";"HR1423400091110521064";"HR00 294-63-10"
"GRAD LABIN";"2025-12-30T00:00:00.000Z";"RADE INSTALACIJE D.O.O.";"22956679886";"LABIN";"OŠ ""IVO LOLA RIBAR"" LABIN";"EUR";"1222.08";"R0708 Usluge tekućeg i investicijskog održavanja";"500       03        10590 OSNOVNA ŠKOLA IVO LOLA RIBAR LABIN";"L01 5002A500003 Financiranje djelatnosti osnovnog školstva";"5.1.001 5. POTPORE ZA DECENTRALIZIRANE FUNKCIJE OSNOVNOG OBRAZOVANJA";"323210 Usluge tekućeg i investicijskog održavanja građevinskih objekata";"0912 Osnovno obrazovanje";"63/USL/1";"ILR 1746-88030 - USLUGE INV. ODRŽAVANJA - MATIČNA - KEMIJA";"2025-12-10T00:00:00.000Z";"2026-01-09T00:00:00.000Z";"HR1423400091110521064";"HR00 294-63-10"
"GRAD LABIN";"2025-12-30T00:00:00.000Z";"RADE INSTALACIJE D.O.O.";"22956679886";"LABIN";"OŠ ""IVO LOLA RIBAR"" LABIN";"EUR";"1687.50";"R0708 Usluge tekućeg i investicijskog održavanja";"500       03        10590 OSNOVNA ŠKOLA IVO LOLA RIBAR LABIN";"L01 5002A500003 Financiranje djelatnosti osnovnog školstva";"5.1.001 5. POTPORE ZA DECENTRALIZIRANE FUNKCIJE OSNOVNOG OBRAZOVANJA";"323210 Usluge tekućeg i investicijskog održavanja građevinskih objekata";"0912 Osnovno obrazovanje";"60/USL/1";"ILR 1731-88030 - USLUGE INV. ODRŽAVANJA PŠ VOZILIĆI";"2025-12-08T00:00:00.000Z";"2026-01-07T00:00:00.000Z";"HR1423400091110521064";"HR00 294-60-10"
"GRAD LABIN";"2025-12-30T00:00:00.000Z";"MOND COMMERCE D.O.O.";"32308289749";"LABIN";"OŠ ""IVO LOLA RIBAR"" LABIN";"EUR";"133.36";"R0741 Sitni inventar i auto gume";"500       03        10590 OSNOVNA ŠKOLA IVO LOLA RIBAR LABIN";"L01 5002A500004 Produženi boravak";"4.9.000001 4.PRIHODI ZA POSEBNE NAMJENE - PRIHODI KORISNIKA";"322510 Sitni inventar";"0912 Osnovno obrazovanje";"51/MP5/4";"ILR 1781-1627 - SI MATIČNA";"2025-12-09T00:00:00.000Z";"2026-01-08T00:00:00.000Z";"HR4324020061100393153";"HR00 51-4"
"GRAD LABIN";"2025-12-30T00:00:00.000Z";"MOND COMMERCE D.O.O.";"32308289749";"LABIN";"OŠ ""IVO LOLA RIBAR"" LABIN";"EUR";"2.63";"R0685-2 Sitni inventar i auto gume";"500       03        10590 OSNOVNA ŠKOLA IVO LOLA RIBAR LABIN";"L01 5002A500003 Financiranje djelatnosti osnovnog školstva";"3.9.000002 3.VLASTITI PRIHODI--REZULTAT";"322510 Sitni inventar";"0912 Osnovno obrazovanje";"51/MP5/4";"ILR 1781-1627 - SI MATIČNA";"2025-12-09T00:00:00.000Z";"2026-01-08T00:00:00.000Z";"HR4324020061100393153";"HR00 51-4"
"GRAD LABIN";"2025-12-30T00:00:00.000Z";"MOND COMMERCE D.O.O.";"32308289749";"LABIN";"OŠ ""IVO LOLA RIBAR"" LABIN";"EUR";"2.00";"R0703 Materijal i dijelovi za tekuće i investicijsko održavanje";"500       03        10590 OSNOVNA ŠKOLA IVO LOLA RIBAR LABIN";"L01 5002A500003 Financiranje djelatnosti osnovnog školstva";"5.1.001 5. POTPORE ZA DECENTRALIZIRANE FUNKCIJE OSNOVNOG OBRAZOVANJA";"322410 Materijal i dijelovi za tekuće i investicijsko održavanje građevinskih objekata";"0912 Osnovno obrazovanje";"665/MP6/12";"ILR 1830-1627 - MAT. ZA ODRŽAVANJE";"2025-12-16T00:00:00.000Z";"2026-01-15T00:00:00.000Z";"HR4324020061100393153";"HR00 665-12"
"GRAD LABIN";"2025-12-30T00:00:00.000Z";"LEPRINKA d.o.o";"27332507825";"Ičići";"OŠ ""IVO LOLA RIBAR"" LABIN";"EUR";"50.00";"R0681-1 Računalne usluge";"500       03        10590 OSNOVNA ŠKOLA IVO LOLA RIBAR LABIN";"L01 5002A500003 Financiranje djelatnosti osnovnog školstva";"1.1.001    1.OPĆI PRIHODI I PRIMICI";"323810 Usluge ažuriranja računalnih baza";"0912 Osnovno obrazovanje";"1796/1/1";"ILR 1762-81582 - LEPRINKA 12-2025";"2025-12-10T00:00:00.000Z";"2026-01-09T00:00:00.000Z";"HR4023800061161001465";"HR00 1796"
"GRAD LABIN";"2025-12-30T00:00:00.000Z";"LEPRINKA d.o.o";"27332507825";"Ičići";"OŠ ""IVO LOLA RIBAR"" LABIN";"EUR";"50.00";"R0681-1 Računalne usluge";"500       03        10590 OSNOVNA ŠKOLA IVO LOLA RIBAR LABIN";"L01 5002A500003 Financiranje djelatnosti osnovnog školstva";"1.1.001    1.OPĆI PRIHODI I PRIMICI";"323810 Usluge ažuriranja računalnih baza";"0912 Osnovno obrazovanje";"1646/1/1";"ILR 1693-81582 - LEPRINKA 11-2025";"2025-11-30T00:00:00.000Z";"2025-12-31T00:00:00.000Z";"HR4023800061161001465";"HR00 1646"
"GRAD LABIN";"2025-12-30T00:00:00.000Z";"PERT DOO ILOK, PODRUŽNICA RIJEKA";"42255248046";"RIJEKA";"OŠ ""IVO LOLA RIBAR"" LABIN";"EUR";"25.88";"R0717-1 Materijal i sirovine";"500       03        10590 OSNOVNA ŠKOLA IVO LOLA RIBAR LABIN";"L01 5002A500003 Financiranje djelatnosti osnovnog školstva";"5.9.000001 5. POMOĆI - PRIHODI KORISNIKA GL 02";"322240 Namirnice";"0912 Osnovno obrazovanje";"51306-1-80";"ILR 1827-185426 - HRANA VINEŽ";"2025-12-12T00:00:00.000Z";"2026-01-11T00:00:00.000Z";"HR5024020061100667440";"HR00 51306-1-80"
"GRAD LABIN";"2025-12-30T00:00:00.000Z";"PERT DOO ILOK, PODRUŽNICA RIJEKA";"42255248046";"RIJEKA";"OŠ ""IVO LOLA RIBAR"" LABIN";"EUR";"164.16";"R0717-1 Materijal i sirovine";"500       03        10590 OSNOVNA ŠKOLA IVO LOLA RIBAR LABIN";"L01 5002A500003 Financiranje djelatnosti osnovnog školstva";"5.9.000001 5. POMOĆI - PRIHODI KORISNIKA GL 02";"322240 Namirnice";"0912 Osnovno obrazovanje";"51307-1-80";"ILR 1826-185426 - HRANA KATURE";"2025-12-12T00:00:00.000Z";"2026-01-11T00:00:00.000Z";"HR5024020061100667440";"HR00 51307-1-80"
"GRAD LABIN";"2025-12-30T00:00:00.000Z";"PERT DOO ILOK, PODRUŽNICA RIJEKA";"42255248046";"RIJEKA";"OŠ ""IVO LOLA RIBAR"" LABIN";"EUR";"154.18";"R0717-1 Materijal i sirovine";"500       03        10590 OSNOVNA ŠKOLA IVO LOLA RIBAR LABIN";"L01 5002A500003 Financiranje djelatnosti osnovnog školstva";"5.9.000001 5. POMOĆI - PRIHODI KORISNIKA GL 02";"322240 Namirnice";"0912 Osnovno obrazovanje";"51308-1-80";"ILR 1825-185426 - HRANA KATURE";"2025-12-12T00:00:00.000Z";"2026-01-11T00:00:00.000Z";"HR5024020061100667440";"HR00 51308-1-80"
"GRAD LABIN";"2025-12-30T00:00:00.000Z";"PERT DOO ILOK, PODRUŽNICA RIJEKA";"42255248046";"RIJEKA";"OŠ ""IVO LOLA RIBAR"" LABIN";"EUR";"59.66";"R0717-1 Materijal i sirovine";"500       03        10590 OSNOVNA ŠKOLA IVO LOLA RIBAR LABIN";"L01 5002A500003 Financiranje djelatnosti osnovnog školstva";"5.9.000001 5. POMOĆI - PRIHODI KORISNIKA GL 02";"322240 Namirnice";"0912 Osnovno obrazovanje";"50982-1-80";"ILR 1803-185426 - HREANA VINEŽ";"2025-12-12T00:00:00.000Z";"2026-01-11T00:00:00.000Z";"HR5024020061100667440";"HR00 50982-1-80"
"GRAD LABIN";"2025-12-30T00:00:00.000Z";"PERT DOO ILOK, PODRUŽNICA RIJEKA";"42255248046";"RIJEKA";"OŠ ""IVO LOLA RIBAR"" LABIN";"EUR";"96.55";"R0717-1 Materijal i sirovine";"500       03        10590 OSNOVNA ŠKOLA IVO LOLA RIBAR LABIN";"L01 5002A500003 Financiranje djelatnosti osnovnog školstva";"5.9.000001 5. POMOĆI - PRIHODI KORISNIKA GL 02";"322240 Namirnice";"0912 Osnovno obrazovanje";"49664-1-80";"ILR 1780-185426 - HRANA MATIČNA";"2025-12-09T00:00:00.000Z";"2026-01-08T00:00:00.000Z";"HR5024020061100667440";"HR00 49664-1-80"
"GRAD LABIN";"2025-12-30T00:00:00.000Z";"PERT DOO ILOK, PODRUŽNICA RIJEKA";"42255248046";"RIJEKA";"OŠ ""IVO LOLA RIBAR"" LABIN";"EUR";"111.50";"R0717-1 Materijal i sirovine";"500       03        10590 OSNOVNA ŠKOLA IVO LOLA RIBAR LABIN";"L01 5002A500003 Financiranje djelatnosti osnovnog školstva";"5.9.000001 5. POMOĆI - PRIHODI KORISNIKA GL 02";"322240 Namirnice";"0912 Osnovno obrazovanje";"49665-1-80";"ILR 1779-185426 - HRANA MATIČNA";"2025-12-09T00:00:00.000Z";"2026-01-08T00:00:00.000Z";"HR5024020061100667440";"HR00 49665-1-80"
"GRAD LABIN";"2025-12-30T00:00:00.000Z";"PERT DOO ILOK, PODRUŽNICA RIJEKA";"42255248046";"RIJEKA";"OŠ ""IVO LOLA RIBAR"" LABIN";"EUR";"180.00";"R0717-1 Materijal i sirovine";"500       03        10590 OSNOVNA ŠKOLA IVO LOLA RIBAR LABIN";"L01 5002A500003 Financiranje djelatnosti osnovnog školstva";"5.9.000001 5. POMOĆI - PRIHODI KORISNIKA GL 02";"322240 Namirnice";"0912 Osnovno obrazovanje";"51309-1-80";"ILR 1831-185426 - HRANA MATIČNA";"2025-12-23T00:00:00.000Z";"2026-01-22T00:00:00.000Z";"HR5024020061100667440";"HR00 51309-1-80"
"GRAD LABIN";"2025-12-30T00:00:00.000Z";"PERT DOO ILOK, PODRUŽNICA RIJEKA";"42255248046";"RIJEKA";"OŠ ""IVO LOLA RIBAR"" LABIN";"EUR";"80.21";"R0717-1 Materijal i sirovine";"500       03        10590 OSNOVNA ŠKOLA IVO LOLA RIBAR LABIN";"L01 5002A500003 Financiranje djelatnosti osnovnog školstva";"5.9.000001 5. POMOĆI - PRIHODI KORISNIKA GL 02";"322240 Namirnice";"0912 Osnovno obrazovanje";"50983-1-80";"ILR 1815-185426 - HRANA MATIČNA";"2025-12-19T00:00:00.000Z";"2026-01-18T00:00:00.000Z";"HR5024020061100667440";"HR00 50983-1-80"
"GRAD LABIN";"2025-12-30T00:00:00.000Z";"PERT DOO ILOK, PODRUŽNICA RIJEKA";"42255248046";"RIJEKA";"OŠ ""IVO LOLA RIBAR"" LABIN";"EUR";"20.00";"R0717-1 Materijal i sirovine";"500       03        10590 OSNOVNA ŠKOLA IVO LOLA RIBAR LABIN";"L01 5002A500003 Financiranje djelatnosti osnovnog školstva";"5.9.000001 5. POMOĆI - PRIHODI KORISNIKA GL 02";"322240 Namirnice";"0912 Osnovno obrazovanje";"50984-1-80";"ILR 1814-185426 - HRANA MATIČNA";"2025-12-19T00:00:00.000Z";"2026-01-18T00:00:00.000Z";"HR5024020061100667440";"HR00 50984-1-80"
"GRAD LABIN";"2025-12-30T00:00:00.000Z";"PERT DOO ILOK, PODRUŽNICA RIJEKA";"42255248046";"RIJEKA";"OŠ ""IVO LOLA RIBAR"" LABIN";"EUR";"23.00";"R0717-1 Materijal i sirovine";"500       03        10590 OSNOVNA ŠKOLA IVO LOLA RIBAR LABIN";"L01 5002A500003 Financiranje djelatnosti osnovnog školstva";"5.9.000001 5. POMOĆI - PRIHODI KORISNIKA GL 02";"322240 Namirnice";"0912 Osnovno obrazovanje";"51304-1-80";"ILR 1829-185426 - HRANA MATIČNA";"2025-12-12T00:00:00.000Z";"2026-01-11T00:00:00.000Z";"HR5024020061100667440";"HR00 51304-1-80"
"GRAD LABIN";"2025-12-30T00:00:00.000Z";"PERT DOO ILOK, PODRUŽNICA RIJEKA";"42255248046";"RIJEKA";"OŠ ""IVO LOLA RIBAR"" LABIN";"EUR";"221.43";"R0717-1 Materijal i sirovine";"500       03        10590 OSNOVNA ŠKOLA IVO LOLA RIBAR LABIN";"L01 5002A500003 Financiranje djelatnosti osnovnog školstva";"5.9.000001 5. POMOĆI - PRIHODI KORISNIKA GL 02";"322240 Namirnice";"0912 Osnovno obrazovanje";"51305-1-80";"ILR 1828-185426 - HRANA MATIČNA";"2025-12-12T00:00:00.000Z";"2026-01-11T00:00:00.000Z";"HR5024020061100667440";"HR00 51305-1-80"
"GRAD LABIN";"2025-12-30T00:00:00.000Z";"PERT DOO ILOK, PODRUŽNICA RIJEKA";"42255248046";"RIJEKA";"OŠ ""IVO LOLA RIBAR"" LABIN";"EUR";"55.75";"R0717-1 Materijal i sirovine";"500       03        10590 OSNOVNA ŠKOLA IVO LOLA RIBAR LABIN";"L01 5002A500003 Financiranje djelatnosti osnovnog školstva";"5.9.000001 5. POMOĆI - PRIHODI KORISNIKA GL 02";"322240 Namirnice";"0912 Osnovno obrazovanje";"49660-1-80";"ILR 1772-185426 - HRANA KATURE";"2025-12-05T00:00:00.000Z";"2026-01-04T00:00:00.000Z";"HR5024020061100667440";"HR00 49660-1-80"
"GRAD LABIN";"2025-12-30T00:00:00.000Z";"PERT DOO ILOK, PODRUŽNICA RIJEKA";"42255248046";"RIJEKA";"OŠ ""IVO LOLA RIBAR"" LABIN";"EUR";"81.63";"R0717-1 Materijal i sirovine";"500       03        10590 OSNOVNA ŠKOLA IVO LOLA RIBAR LABIN";"L01 5002A500003 Financiranje djelatnosti osnovnog školstva";"5.9.000001 5. POMOĆI - PRIHODI KORISNIKA GL 02";"322240 Namirnice";"0912 Osnovno obrazovanje";"49661-1-80";"ILR 1771-185426 - HRANA VINEŽ";"2025-12-05T00:00:00.000Z";"2026-01-04T00:00:00.000Z";"HR5024020061100667440";"HR00 49661-1-80"
"GRAD LABIN";"2025-12-30T00:00:00.000Z";"PERT DOO ILOK, PODRUŽNICA RIJEKA";"42255248046";"RIJEKA";"OŠ ""IVO LOLA RIBAR"" LABIN";"EUR";"25.94";"R0717-1 Materijal i sirovine";"500       03        10590 OSNOVNA ŠKOLA IVO LOLA RIBAR LABIN";"L01 5002A500003 Financiranje djelatnosti osnovnog školstva";"5.9.000001 5. POMOĆI - PRIHODI KORISNIKA GL 02";"322240 Namirnice";"0912 Osnovno obrazovanje";"49662-1-80";"ILR 1770-185426 - HRANA KATURE";"2025-12-05T00:00:00.000Z";"2026-01-04T00:00:00.000Z";"HR5024020061100667440";"HR00 49662-1-80"
"GRAD LABIN";"2025-12-30T00:00:00.000Z";"PERT DOO ILOK, PODRUŽNICA RIJEKA";"42255248046";"RIJEKA";"OŠ ""IVO LOLA RIBAR"" LABIN";"EUR";"91.38";"R0717-1 Materijal i sirovine";"500       03        10590 OSNOVNA ŠKOLA IVO LOLA RIBAR LABIN";"L01 5002A500003 Financiranje djelatnosti osnovnog školstva";"5.9.000001 5. POMOĆI - PRIHODI KORISNIKA GL 02";"322240 Namirnice";"0912 Osnovno obrazovanje";"49663-1-80";"ILR 1769-185426 - HRANA VINEŽ";"2025-12-05T00:00:00.000Z";"2026-01-04T00:00:00.000Z";"HR5024020061100667440";"HR00 49663-1-80"
